#{"t_start": 1750414829.6659367, "env_id": "None"}
r,l,t,reason
0.651708,175,14507.308539,goal_reached
0.655377,172,14545.030638,goal_reached
-1.148844,153,14578.876647,collision
-1.483464,48,14591.543384,collision
-1.065707,4,14595.221094,collision
1.5125,168,14632.082754,goal_reached
-1.463311,86,14652.364821,collision
-1.038356,59,14667.144993,collision
-0.928359,53,14680.706598,collision
-0.920527,48,14693.290301,collision
-0.947276,38,14703.866544,collision
-0.796394,74,14721.716675,collision
1.148515,183,14761.571233,goal_reached
0.659978,170,14798.833144,goal_reached
-1.533506,47,14811.243661,collision
-0.926334,37,14821.630583,collision
-1.011794,3,14825.146549,collision
-0.579664,86,14845.495084,collision
-1.223056,4,14849.194851,collision
-0.808442,5,14853.064638,collision
-0.505057,120,14880.20432,collision
0.960265,157,14914.909147,goal_reached
-1.424823,86,14935.216614,collision
-1.076986,46,14947.479306,collision
-0.914261,49,14960.239589,collision
-1.046343,4,14963.91888,collision
-0.392469,132,15008.308486,collision
-1.364239,57,15022.697415,collision
-0.964906,53,15036.385618,collision
-0.901784,64,15052.193486,collision
-0.641201,217,15099.027042,collision
-1.538432,52,15112.445361,collision
-0.912485,50,15125.447671,collision
-1.043288,4,15129.190847,collision
1.496269,174,15167.231361,goal_reached
0.607276,194,15209.341596,goal_reached
0.627808,189,15250.49909,goal_reached
-1.659805,9,15255.282197,collision
-0.648263,78,15273.923466,collision
1.15432,177,15312.640545,goal_reached
-1.390445,102,15336.132542,collision
-0.969935,114,15362.177411,collision
0.954337,183,15402.073539,goal_reached
-1.734664,38,15493.172671,collision
-0.703793,52,15506.570499,collision
-0.856154,53,15520.184104,collision
-0.954808,46,15532.351772,collision
-0.886164,50,15545.343474,collision
-0.943691,42,15556.786689,collision
-0.883646,48,15569.36888,collision
-0.90031,50,15582.347412,collision
-0.911806,54,15596.120023,collision
-1.038028,5,15600.048236,collision
1.540572,146,15632.440781,goal_reached
-1.315223,98,15655.150003,collision
-1.165704,70,15672.278033,collision
-0.957937,64,15688.14093,collision
1.187528,171,15725.634718,goal_reached
-1.647307,12,15730.826571,collision
-0.807999,21,15737.917676,collision
-0.75115,37,15748.273807,collision
-0.899598,47,15760.652726,collision
-0.884552,54,15774.438394,collision
-0.839244,83,15794.17847,collision
-1.132029,21,15801.302432,collision
-0.873841,17,15807.617194,collision
-0.891368,2,15810.897925,collision
-0.804255,4,15814.581922,collision
-0.616997,59,15829.383796,collision
-0.080027,270,15886.956862,no_progress
-1.465349,52,15900.366585,collision
-0.968369,32,15909.740359,collision
-0.501271,143,15941.539587,collision
-1.413327,35,15951.470805,collision
-1.014301,3,15954.942144,collision
1.530045,159,15989.931818,goal_reached
-1.538692,47,16002.32338,collision
-0.783826,127,16030.897321,collision
0.994756,179,16070.113619,goal_reached
-1.481129,54,16083.90609,collision
1.183547,191,16125.311282,goal_reached
-1.397113,103,16149.120155,collision
-0.947611,121,16176.601518,collision
-1.202969,57,16191.108403,collision
-1.016001,33,16200.689195,collision
-0.959409,3,16204.180652,collision
-0.727061,55,16218.183259,collision
-1.016115,3,16221.653117,collision
1.491909,181,16261.195403,goal_reached
0.629744,180,16300.511587,goal_reached
-1.41629,62,16315.898939,collision
-1.177776,3,16319.373144,collision
-0.695341,48,16332.01267,collision
-0.750598,95,16354.08558,collision
-1.135283,65,16370.095348,collision
-1.077314,4,16373.833663,collision
1.454769,194,16415.923787,goal_reached
-1.351929,118,16442.692392,collision
-1.026409,123,16470.524353,collision
-1.345624,19,16477.145102,collision
1.338789,218,16524.063733,goal_reached
-1.516054,45,16536.057086,collision
